#  Enrollment Year, Graduation Year, Years Studied
2015,2019,4
2015,2019,4
2015,2019,4
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2019,5
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2014,2018,4
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2019,6
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2018,5
2013,2017,4
2013,2017,4
2013,2017,4
2013,2017,4
2013,2017,4
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2019,7
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2018,6
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2017,5
2012,2016,4
2012,2016,4
2012,2016,4
2012,2016,4
2012,2016,4
2011,2019,8
2011,2019,8
2011,2019,8
2011,2019,8
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2018,7
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2017,6
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2011,2016,5
2010,2019,9
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2018,8
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2017,7
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2010,2016,6
2009,2019,10
2009,2019,10
2009,2019,10
2009,2018,9
2009,2018,9
2009,2018,9
2009,2018,9
2009,2018,9
2009,2018,9
2009,2018,9
2009,2018,9
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2017,8
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2009,2016,7
2008,2018,10
2008,2018,10
2008,2018,10
2008,2018,10
2008,2017,9
2008,2017,9
2008,2017,9
2008,2017,9
2008,2017,9
2008,2017,9
2008,2017,9
2008,2017,9
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2008,2016,8
2007,2019,12
2007,2017,10
2007,2017,10
2007,2017,10
2007,2016,9
2007,2016,9
2007,2016,9
2007,2016,9
2007,2016,9
2006,2019,13
2006,2017,11
2006,2017,11
2006,2016,10
2006,2016,10
2006,2016,10
2006,2016,10
2006,2016,10
2005,2017,12
2005,2016,11
2004,2017,13
2004,2017,13
2004,2016,12
2004,2016,12
2004,2016,12
2003,2016,13
2003,2016,13
2002,2017,15
2002,2016,14
2000,2016,16
